hold_id,branch,n_samples,full_modal_n,is_full_hold,u_prev_v,u_cmd_v,delta_u_v,duration_s,tail_n_samples,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,displacement_step_mm,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,accepted_for_creep,exclusion_reason
105,down,400,400,TRUE,4.766,2.528,-2.238,4,20,14.98,6.738,2.5,1.16,-8.242,0.006155870112511066,0,-0.05413533834585881,0,TRUE,NA
106,up,400,400,TRUE,2.528,6.174,3.6460000000000004,4,20,6.72,22.162,1.16,3.36,15.442,0.012814465510343475,0,0.18947368421055674,0,TRUE,NA
107,down,400,400,TRUE,6.174,5.603,-0.5710000000000006,4,20,22.18,20.44,3.36,3.02,-1.7399999999999984,0,0,0,0,TRUE,NA
108,down,400,400,TRUE,5.603,3.138,-2.465,4,20,20.44,9.107,3.02,1.52,-11.333000000000002,0.00978720969859165,0,-0.13684210526317467,0,TRUE,NA
109,up,400,400,TRUE,3.138,5.269,2.1310000000000002,4,20,9.1,17.721999999999998,1.52,2.8,8.621999999999998,0.006155870112510793,0,0.054135338345873085,0,TRUE,NA
110,up,400,400,TRUE,5.269,6.536,1.2669999999999995,4,20,17.74,24.306,2.8,3.58,6.5660000000000025,0.009403246919632345,0,0.12631578947366545,0,TRUE,NA
111,down,400,400,TRUE,6.536,5.807,-0.7289999999999992,4,20,24.32,21.94,3.58,3.14,-2.379999999999999,0,0,0,0,TRUE,NA
112,down,400,400,TRUE,5.807,4.182,-1.625,4,20,21.94,14,3.14,2.16,-7.940000000000001,0,0,0,0,TRUE,NA
113,up,400,400,TRUE,4.182,6.503,2.3209999999999997,4,20,13.98,24.278000000000002,2.16,3.54,10.298000000000002,0.008944271909998969,0,0.10526315789472937,0,TRUE,NA
114,down,400,400,TRUE,6.503,6.118,-0.3849999999999998,4,20,24.3,23.36,3.54,3.32,-0.9400000000000013,0,0,0,0,FALSE,small_displacement_step
115,down,400,400,TRUE,6.118,4.213,-1.9050000000000002,4,20,23.36,14.343,3.32,2.18,-9.017,0.007326950970650309,0,-0.07669172932332423,0,TRUE,NA
116,up,400,400,TRUE,4.213,4.895,0.6819999999999995,4,20,14.34,16.688,2.18,2.58,2.347999999999999,0.010052493799000478,0,0.12330827067670756,0,TRUE,NA
117,up,400,400,TRUE,4.895,6.5,1.6050000000000004,4,20,16.7,24.332,2.58,3.54,7.6320000000000014,0.010052493799000478,0,0.14436090225564913,0,TRUE,NA
118,down,400,400,TRUE,6.5,3.794,-2.706,4,20,24.34,12.391,3.54,1.92,-11.949,0.010208355710680591,0,-0.14887218045112444,0,TRUE,NA
119,up,400,400,TRUE,3.794,6.99,3.196,4,20,12.38,26.572999999999997,1.92,3.84,14.192999999999996,0.00978720969859165,0,0.13684210526314577,0,TRUE,NA
120,down,400,400,TRUE,6.99,4.456,-2.534,4,20,26.6,15.607,3.84,2.32,-10.993000000000002,0.00978720969859165,0,-0.13684210526317056,0,TRUE,NA
121,down,400,400,TRUE,4.456,3.285,-1.1710000000000003,4,20,15.6,10.089,2.32,1.62,-5.510999999999999,0.010208355710680591,0,-0.14887218045111,0,TRUE,NA
122,down,400,400,TRUE,3.285,2.259,-1.0260000000000002,4,20,10.08,6.122,1.62,1,-3.958,0.006155870112510793,0,-0.05413533834586696,0,TRUE,NA
123,up,400,400,TRUE,2.259,3.012,0.7530000000000001,4,20,6.12,7.86,1,1.46,1.7400000000000002,0,0,0,0,TRUE,NA
124,down,400,400,TRUE,3.012,2.319,-0.6930000000000001,4,20,7.86,6.035,1.46,1.04,-1.8250000000000002,0.008885233166386591,0,-0.11278195488722045,0,TRUE,NA
125,down,400,400,TRUE,2.319,0.998,-1.321,4,20,6.02,2.3819999999999997,1.04,0.256,-3.638,0.01436369692919217,0.00820782681668124,-0.2225563909774426,-0.09624060150375978,TRUE,NA
126,up,400,400,TRUE,0.998,2.439,1.441,4,20,2.36,5.36,0.24,1.1,3.0000000000000004,0,0,0,0,TRUE,NA
