u[V],p[V],s[mm],p[bar]
6.04,4.761,17.383,3.2849000000000004
6.05,4.766,17.48,3.2894000000000005
6.06,4.771,17.432,3.2939
6.07,4.79,17.578,3.311
6.08,4.79,17.627,3.311
6.09,4.785,17.676,3.3065000000000007
6.1,4.8,17.725,3.3200000000000003
6.11,4.8,17.773,3.3200000000000003
6.12,4.81,17.822,3.3289999999999997
6.13,4.814,17.822,3.3326000000000002
6.14,4.854,18.066,3.3686
6.15,4.849,18.115,3.3641000000000005
6.16,4.849,18.115,3.3641000000000005
6.17,4.854,18.164,3.3686
6.18,4.854,18.213,3.3686
6.19,4.878,18.311,3.3902
6.2,4.878,18.311,3.3902
6.21,4.878,18.408,3.3902
6.22,4.888,18.457,3.3992000000000004
6.23,4.888,18.506,3.3992000000000004
6.24,4.902,18.506,3.4118000000000004
6.25,4.897,18.604,3.4073
6.26,4.907,18.652,3.4163000000000006
6.27,4.917,18.75,3.4253
6.28,4.941,18.848,3.4469000000000003
6.29,4.937,18.896,3.4433000000000007
6.3,4.932,18.896,3.4388000000000005
6.31,4.941,18.945,3.4469000000000003
6.32,4.941,19.043,3.4469000000000003
6.33,4.976,19.189,3.4783999999999997
6.34,4.976,19.287,3.4783999999999997
6.35,4.98,19.287,3.482
6.36,4.976,19.336,3.4783999999999997
6.37,4.99,19.434,3.4910000000000005
6.38,4.985,19.434,3.4865000000000004
6.39,5.005,19.531,3.5045
6.4,5.01,19.58,3.5090000000000003
6.41,5.02,19.678,3.518
6.42,5.02,19.678,3.518
6.43,5.034,19.824,3.5305999999999997
6.44,5.029,19.873,3.5261000000000005
6.45,5.034,19.873,3.5305999999999997
6.46,5.039,19.971,3.5351
6.47,5.054,20.02,3.5486000000000004
6.48,5.054,20.068,3.5486000000000004
6.49,5.063,20.166,3.5567
6.5,5.063,20.166,3.5567
6.51,5.083,20.313,3.5747
6.52,5.078,20.313,3.5702000000000007
6.53,5.098,20.459,3.5881999999999996
6.54,5.098,20.508,3.5881999999999996
6.55,5.103,20.508,3.5927
6.56,5.107,20.605,3.5963000000000003
6.57,5.127,20.654,3.6143
6.58,5.122,20.752,3.6098
6.59,5.137,20.85,3.6232999999999995
6.6,5.142,20.898,3.6278000000000006
6.61,5.146,20.898,3.6314
6.62,5.151,20.996,3.6359000000000004
6.63,5.161,21.045,3.6449
6.64,5.161,21.045,3.6449
6.65,5.186,21.24,3.6673999999999998
6.66,5.19,21.289,3.6710000000000003
