xref[mm],s[mm],p[bar],u[V],t[ms] 
5.000,2.090,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
5.000,2.080,3.760,0.920,10.000
10.000,2.080,3.760,0.920,10.000
10.000,6.079,3.760,0.920,10.000
