xref[mm],s[mm],p[bar],u[V],t[ms] 
4.528,1.826,3.600,0.740,10.000
4.528,1.803,3.580,0.740,10.000
4.528,1.835,3.580,0.740,10.000
4.528,1.812,3.580,0.740,10.000
4.528,1.835,3.580,0.740,10.000
4.528,1.812,3.580,0.740,10.000
4.528,1.835,3.580,0.740,10.000
4.528,1.812,3.580,0.740,10.000
4.528,1.835,3.560,0.740,10.000
4.528,1.821,3.560,0.740,10.000
4.528,1.844,3.560,0.740,10.000
4.528,1.821,3.560,0.740,10.000
4.528,1.844,3.560,0.740,10.000
4.528,1.821,3.560,0.740,10.000
4.528,1.844,3.560,0.740,10.000
4.528,1.821,3.560,0.740,10.000
4.528,1.844,3.540,0.740,10.000
4.528,1.831,3.540,0.740,10.000
4.528,1.854,3.540,0.740,10.000
4.528,1.831,3.540,0.740,10.000
4.528,1.854,3.540,0.740,10.000
4.528,1.831,3.540,0.720,10.000
4.528,1.861,3.540,0.720,10.000
4.528,1.838,3.540,0.720,10.000
4.528,1.861,3.540,0.720,10.000
4.528,1.838,3.540,0.720,10.000
4.528,1.861,3.520,0.720,10.000
4.528,1.847,3.520,0.720,10.000
4.528,1.870,3.520,0.720,10.000
4.528,1.847,3.520,0.720,10.000
4.528,1.870,3.520,0.720,10.000
4.528,1.847,3.520,0.720,10.000
4.528,1.870,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.840,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.863,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
4.528,1.841,3.520,0.740,10.000
4.528,1.864,3.520,0.740,10.000
